uri,streams
spotify:track:7EUvcSFkyVB73zrblhQmEL,608040
spotify:track:43Z6YxVTYyr5ewyo2uepdy,609073
spotify:track:4skuEIloXWuxxgekKupkEH,609256
spotify:track:6Im9k8u9iIzKMrmV7BWtlF,609591
spotify:track:6ocbgoVGwYJhOv1GgI9NsF,610280
spotify:track:1yTJg3lyUPmwbnve82twH5,613791
spotify:track:7aHkSmt0l7xTgCaAYvSZ9L,616945
spotify:track:2w9v5V5Dpj4Cy7MWEP6Et9,617640
spotify:track:56Ta1O7Jxxpjnc6cWdDKUo,618494
spotify:track:2g12ZAzSIybDe6QC3w9DYl,619200
spotify:track:7KbF6AdprOXEEHlsq11Z6d,620208
spotify:track:3UHPGOkUcE4hE7sqBF4Snt,622634
spotify:track:5wWxUdgn2OugIOvLJOdreH,623977
spotify:track:42ahuAFlYGjIGBpVdHcLij,624003
spotify:track:7szuecWAPwGoV1e5vGu8tl,624873
spotify:track:5EbtodsuLbxrFDH6j5avVS,624973
spotify:track:5GXAXm5YOmYT0kL5jHvYBt,626621
spotify:track:3dEtfTtCXWW7N8WQ9FD29z,636058
spotify:track:3hVaK0zn3sVWWY8TvN1Te5,638404
spotify:track:4jOBQxq4Ffd8DDrsN4wPOR,639233
spotify:track:5KcuLISuSBnMFAPVhFnHr5,642048
spotify:track:7CtbxAGq2P0jtYh6SH9DMR,643914
spotify:track:0qKwMEPwaEs4CuVGrGFYFR,647705
spotify:track:0HMmzc6sW3DRrxlt5e4EmE,648436
spotify:track:1WH3iquIQXnSPwUzlROT8R,657273
spotify:track:6RaabFZyIbKpoC2Xh8XeXZ,660911
spotify:track:1quaoU1wjFHLkDXC3bNghk,661583
spotify:track:4oonyJXO2PuTXq2KUOdFPH,663411
spotify:track:0HC6S4VpCGAZvyxTdrMRIQ,664519
spotify:track:2qyLvNLktrdc67OgaayqMW,665080
spotify:track:5RmSunLqeDqNWww8LWhAiK,669205
spotify:track:0z8hI3OPS8ADPWtoCjjLl6,671252
spotify:track:2dDfS3g7VYjQLDqPnMY8oB,680488
spotify:track:249gnXrbfmV8NG6jTEMSwD,686993
spotify:track:4Yip3hds5IHyT7AqoNHfmX,690669
spotify:track:6Zt5p8qcOO5NW0udr3t2Tm,693296
spotify:track:4iDhQFNWG6uHWi7LOKhmkP,694100
spotify:track:4wcBRRpIfesgcyUtis7PEg,694507
spotify:track:2z0IupRlVRlDN5r2IVqHyN,716142
spotify:track:4gC0IUJBZ6HQBy4SezYNgq,725620
spotify:track:4u4NyuceXP7Uzh7XFJKCr1,731249
spotify:track:5o4KEUAzqbLEB2uMennElc,731896
spotify:track:6uqyE384HDSsuwpoF4mjrL,747821
spotify:track:1ZR473PTTSHGcnyRyidBoA,778129
spotify:track:2TOzTqQXNmR2zDJXihjZ2e,795976
spotify:track:11iYGnLvPxB2O9k0xGmPvq,797043
spotify:track:1VauUM5CBX7nkLcgafQL2B,806799
spotify:track:7gx3fwyhHjpLbuW236QYiT,814500
spotify:track:3ymdUMzgylwrSfpxdlCUWV,898693
spotify:track:4Ixc50wY5pbUvNEogTQ2wL,999763
spotify:track:36CiGk9oRdwTnBDMgKEfjl,1058946
spotify:track:6PERP62TejQjgHu81OHxgM,1097021
spotify:track:1O18MtSAMUk7JfAVB8gGzs,1206677
spotify:track:0EtuSDTRJYUwlPf4y6coIz,1210421
spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q,1224333
spotify:track:6WkJ2OK163XXS2oARUC9JM,1225905
spotify:track:3JR0ducCexKbeK47g6AHm5,1246004
spotify:track:6YYmoV9YbBefsspGmqFHbs,1257342
spotify:track:66SvxvblhUIEL6awyLMGL2,1258970
spotify:track:6mAN61JH0dzyZpWslS11jy,1273120
spotify:track:59rjsHYxdxeUG6gd43Emzs,1280432
spotify:track:6EHrppRT1Uj4cyShAujxFu,1296339
spotify:track:5mROvpdGeu1vSbZhZoay5O,1315448
spotify:track:7iQc2DabEtzp60faOO9EmN,1360317
spotify:track:3zb856RMKFjdvWre0TKcmA,1394009
spotify:track:337cEDExdFKmLrQMKjffxr,1419111
spotify:track:1v3lhrZEsOcazqR2QIyyRu,1447114
spotify:track:1QSvHSBcPlSlHhsntszy85,1468335
spotify:track:5hRFjooNvZWb9gdnXjrv2j,1477557
spotify:track:0k4d5YPDr1r7FX77VdqWez,1510605
spotify:track:2LEgTuCP5iezFKHRtI5llW,1512597
spotify:track:6zSpb8dQRaw0M1dK8PBwQz,1539428
spotify:track:5HCyWlXZPP0y6Gqq8TgA20,1545611
spotify:track:73O30uMI7n6DuzBmbtO7kC,1551905
spotify:track:5eBzDfTG7m8NUWf14YYQcU,1563107
spotify:track:7d8TPVWQLeW5PKrAb76V3N,1656740
spotify:track:2LJRoFOtMGLnSxJqlJuhge,1709661
spotify:track:3NqBxTOMCJ3zW9CIP51td4,1751045
spotify:track:343HgC6SVFtTAgMPlGoNjn,1758797
spotify:track:0B5nnPv1ebuo0VFXCMfUij,1863622
spotify:track:3V5mrjHNr7VFhcUJ5oh45V,1868181
spotify:track:0wQCKR9OFjYu5Kzrk7WivJ,1890215
spotify:track:4j3iq13kHs5PB94jdTp3Y3,1911878
spotify:track:4YU704KDCv4tyE6qQxliY3,1936951
spotify:track:3ZG8N7aWw2meb6UrI5ZmnZ,1938364
spotify:track:1diS6nkxMQc3wwC4G1j0bh,1941457
spotify:track:6OGogr19zPTM4BALXuMQpF,1955767
spotify:track:5Wvw29RKTFSK0IuCd2qs4m,1998459
spotify:track:6GPBXtnSepHovJi1uD1Ggj,2000664
spotify:track:2iS1BUa0VwSil4uQ89cfst,2060195
spotify:track:3BZEcbdtXQSo7OrvKRJ6mb,2084771
spotify:track:5FcT2TuosRkokjn3xyncER,2165850
spotify:track:0cGy3K7zTivPgk3iUC91nz,2174592
spotify:track:1nahzW3kfMuwReTka28tH5,2215287
spotify:track:4XKC4nfeXgyd4KQDu8arKL,2252911
spotify:track:6SRsiMl7w1USE4mFqrOhHC,2301565
