,danceability,energy,duration_ms,loudness,speechiness,instrumentalness,liveness,valence,tempo,acousticness
0,0.762,0.645,187429,-5.422,0.272,1.26e-05,0.118,0.64,180.125,0.241
1,0.756,0.565,226280,-9.832,0.0287,0.00128,0.243,0.655,101.944,0.309
2,0.394,0.475,278547,-7.935,0.028,0.00749,0.112,0.441,129.995,0.0251
3,0.83,0.585,173711,-6.476,0.094,0.0,0.248,0.485,109.978,0.237
4,0.778,0.317,178627,-10.732,0.334,0.0,0.0881,0.327,140.048,0.592
5,0.867,0.468,204629,-7.056,0.0875,0.0,0.112,0.837,116.954,0.374
6,0.775,0.6,246101,-7.594,0.3,0.0,0.102,0.33,83.822,0.608
7,0.901,0.867,184800,-3.455,0.074,0.0,0.138,0.969,132.029,0.175
8,0.578,0.634,211652,-5.979,0.333,0.0,0.132,0.216,183.89,0.00473
9,0.864,0.765,235328,-3.604,0.11,0.0,0.386,0.724,104.998,0.432
10,0.777,0.712,175733,-4.84,0.277,0.0,0.091,0.68,95.692,0.217
11,0.499,0.709,214621,-6.404,0.134,0.0,0.331,0.314,164.032,0.296
12,0.667,0.287,279213,-9.718,0.0334,3.61e-06,0.106,0.545,127.981,0.769
13,0.785,0.644,182595,-4.76,0.0744,1.83e-05,0.275,0.175,100.959,0.658
14,0.667,0.719,237520,-5.371,0.0346,8.1e-05,0.0736,0.717,100.021,0.00285
15,0.483,0.492,188213,-6.591,0.295,0.0,0.323,0.66,144.511,0.603
16,0.773,0.819,269187,-5.946,0.118,0.0,0.0679,0.585,92.99,0.426
17,0.742,0.497,310860,-9.381,0.0746,0.00335,0.0993,0.558,156.013,0.249
18,0.686,0.868,236413,-3.889,0.0504,0.0,0.287,0.557,125.768,0.0738
19,0.839,0.706,147120,-5.629,0.0728,1.23e-06,0.106,0.462,92.031,0.264
20,0.748,0.538,187987,-3.877,0.0277,0.0,0.219,0.749,130.229,0.408
21,0.778,0.651,159666,-5.421,0.266,0.0,0.177,0.569,100.094,0.167
22,0.599,0.663,207900,-7.147,0.0375,0.0,0.12,0.674,84.901,0.485
23,0.78,0.748,168825,-5.41,0.0729,0.0,0.0995,0.307,142.063,0.131
24,0.793,0.782,191945,-3.945,0.0582,0.0,0.124,0.81,143.86,0.447
25,0.882,0.613,210893,-8.238,0.207,6.12e-05,0.219,0.693,97.974,0.393
26,0.917,0.54,176704,-6.27,0.0578,0.0,0.0753,0.935,112.579,0.702
27,0.635,0.397,200969,-13.785,0.106,1.61e-05,0.108,0.829,168.246,0.236
28,0.666,0.452,155956,-7.096,0.265,0.000992,0.186,0.0398,163.694,0.211
29,0.457,0.495,295039,-6.044,0.0797,0.000228,0.109,0.311,79.513,0.62
30,0.737,0.634,206360,-4.25,0.0424,0.0,0.111,0.528,94.927,0.345
31,0.776,0.808,184104,-4.501,0.117,0.000127,0.103,0.494,123.988,0.0297
32,0.482,0.608,184848,-10.974,0.207,0.0,0.124,0.849,169.341,0.0485
33,0.566,0.716,207481,-5.733,0.0424,0.0,0.37,0.45,81.068,0.00691
34,0.744,0.679,199773,-3.51,0.0791,0.00429,0.0966,0.866,176.024,0.0654
35,0.811,0.871,223133,-4.564,0.214,0.0,0.389,0.935,160.025,0.272
36,0.821,0.65,202947,-5.877,0.103,0.000138,0.11,0.604,164.033,0.239
37,0.473,0.203,163587,-12.627,0.102,0.0,0.126,0.419,168.884,0.941
38,0.588,0.856,175044,-5.242,0.0316,0.0739,0.238,0.635,96.966,0.000818
39,0.676,0.866,211936,-3.441,0.0487,0.0,0.0501,0.847,92.975,0.0685
40,0.658,0.634,170813,-5.797,0.0413,0.0,0.132,0.29,139.98,0.0106
41,0.828,0.59,245714,-7.574,0.249,0.0,0.1,0.335,83.919,0.606
42,0.765,0.373,195777,-9.915,0.0713,0.541,0.112,0.59,85.015,0.329
43,0.74,0.428,142576,-8.458,0.0959,1.76e-05,0.117,0.281,84.739,0.644
44,0.638,0.259,202827,-10.706,0.0898,0.0,0.219,0.269,88.485,0.753
45,0.672,0.804,200827,-3.447,0.0648,0.000166,0.369,0.717,91.928,0.151
46,0.783,0.524,164896,-6.455,0.0554,0.0,0.271,0.839,117.496,0.241
47,0.644,0.552,186500,-7.008,0.0364,0.0,0.661,0.488,119.99,0.33
48,0.825,0.771,212416,-2.515,0.0796,3.89e-05,0.093,0.929,154.001,0.075
49,0.808,0.559,237459,-6.936,0.452,6.57e-06,0.0966,0.48,169.103,0.133
50,0.787,0.641,184134,-7.376,0.315,0.00534,0.07,0.437,182.003,0.101
51,0.556,0.661,178148,-5.052,0.204,0.0,0.101,0.668,168.56,0.3
52,0.781,0.553,190773,-4.598,0.0454,1.61e-06,0.0832,0.832,145.06,0.622
53,0.781,0.748,224168,-4.604,0.242,0.0,0.156,0.788,149.819,0.105
54,0.758,0.913,186210,-2.926,0.113,6.92e-05,0.193,0.658,128.04,0.00364
55,0.72,0.741,198053,-6.529,0.0287,1.41e-05,0.289,0.357,119.896,0.101
56,0.739,0.588,164457,-4.971,0.136,0.0,0.109,0.774,109.958,0.00308
57,0.792,0.676,188894,-12.813,0.0546,1.93e-05,0.0654,0.712,117.011,0.172
58,0.834,0.533,137324,-3.113,0.163,0.0,0.124,0.772,120.962,0.567
59,0.879,0.703,199711,-4.219,0.0701,0.0,0.0569,0.788,94.004,0.143
60,0.781,0.67,208000,-2.588,0.0484,2.01e-06,0.104,0.85,177.957,0.232
61,0.832,0.652,182053,-4.95,0.354,0.0,0.492,0.559,176.013,0.359
62,0.77,0.656,177370,-4.156,0.166,0.0,0.272,0.901,80.079,0.039
63,0.668,0.636,131240,-3.816,0.0301,0.0,0.141,0.736,147.883,0.479
64,0.8,0.669,188238,-12.898,0.0546,2.35e-05,0.0609,0.721,117.015,0.19
65,0.792,0.676,188894,-12.813,0.0546,1.93e-05,0.0654,0.712,117.011,0.172
66,0.659,0.479,155956,-6.79,0.2,0.0025,0.268,0.0395,163.882,0.152
67,0.563,0.535,188526,-8.963,0.0695,0.0,0.306,0.816,169.893,0.396
68,0.547,0.715,190671,-4.682,0.0489,0.0,0.11,0.724,117.273,0.199
69,0.828,0.621,186173,-6.414,0.0565,0.00233,0.0845,0.436,128.986,0.0164
70,0.799,0.681,146866,-5.851,0.0301,0.0,0.153,0.854,97.529,0.09
71,0.796,0.798,202735,-6.312,0.0317,4.19e-05,0.0952,0.942,116.032,0.034
72,0.591,0.764,141806,-5.484,0.0483,0.0,0.103,0.478,169.928,0.0383
73,0.817,0.737,206587,-5.453,0.102,1.57e-05,0.092,0.67,93.985,0.046
74,0.657,0.715,144545,-9.3,0.0333,0.0,0.147,0.961,147.124,0.0906
75,0.676,0.602,243001,-7.492,0.117,0.552,0.239,0.702,168.113,0.274
76,0.858,0.634,164360,-4.058,0.0286,0.0,0.236,0.909,110.03,0.518
77,0.39,0.499,275194,-7.778,0.0381,0.000497,0.115,0.34,200.156,0.632
78,0.83,0.623,223366,-4.056,0.0801,0.0,0.0812,0.614,101.036,0.0219
79,0.699,0.444,186653,-3.803,0.0316,0.0,0.313,0.525,138.139,0.435
80,0.592,0.579,234667,-5.904,0.0498,0.0,0.141,0.633,120.025,0.198
81,0.648,0.846,343413,-6.731,0.0424,4.23e-06,0.0803,0.815,160.075,0.199
82,0.561,0.39,193700,-4.959,0.0568,0.0,0.126,0.705,163.919,0.819
83,0.51,0.736,221813,-3.866,0.0362,4.51e-06,0.101,0.514,100.152,0.114
84,0.805,0.562,184255,-3.117,0.105,4.96e-06,0.148,0.767,172.094,0.125
85,0.722,0.588,165507,-5.932,0.0544,0.0,0.183,0.59,134.01,0.0319
86,0.748,0.74,220196,-6.01,0.0484,2.18e-05,0.101,0.518,121.004,0.0107
87,0.932,0.484,236069,-6.357,0.324,0.0,0.122,0.403,119.94,0.0343
88,0.79,0.766,226010,-3.497,0.111,0.0,0.0832,0.825,82.026,0.324
89,0.603,0.508,246001,-9.437,0.217,0.0,0.14,0.301,86.723,0.114
90,0.61,0.508,137876,-6.682,0.152,0.0,0.384,0.758,178.818,0.297
91,0.753,0.72,193112,-4.223,0.0987,0.0,0.0554,0.84,173.906,0.383
92,0.864,0.736,212312,-4.895,0.25,3.28e-05,0.215,0.681,97.941,0.45
93,0.658,0.634,170813,-6.068,0.0431,0.0,0.12,0.302,140.002,0.0104
94,0.548,0.568,185075,-4.46,0.0292,0.0,0.0916,0.735,83.308,0.675
95,0.672,0.526,143747,-6.446,0.0599,1.37e-06,0.28,0.28,123.999,0.0311
96,0.889,0.34,174321,-7.773,0.0697,0.13,0.055,0.716,94.009,0.218
97,0.771,0.885,231604,-3.66,0.0508,0.0,0.0918,0.826,128.031,0.222
98,0.642,0.464,159867,-8.102,0.0404,0.0,0.0507,0.564,100.159,0.442
99,0.85,0.849,203507,-3.436,0.0437,0.000193,0.329,0.92,143.975,0.611
100,0.786,0.808,301714,-3.702,0.0881,0.000289,0.0822,0.608,105.029,0.0846
101,0.755,0.772,233160,-4.539,0.154,9.19e-05,0.223,0.586,168.062,0.0605
102,0.768,0.391,180680,-5.976,0.032,0.0,0.128,0.815,132.009,0.52
103,0.824,0.631,197721,-2.791,0.0809,0.000116,0.0531,0.678,171.965,0.237
104,0.751,0.911,268467,-6.274,0.0619,1.34e-06,0.304,0.841,113.143,0.163
105,0.634,0.285,245897,-14.007,0.0807,0.000359,0.232,0.203,129.65,0.937
106,0.67,0.632,172955,-8.823,0.0579,0.0,0.137,0.707,154.986,0.274
107,0.665,0.599,164467,-5.082,0.0264,0.0,0.123,0.629,142.975,0.222
108,0.615,0.386,266000,-4.802,0.0415,0.0,0.109,0.591,134.552,0.473
109,0.824,0.545,186088,-7.127,0.0699,0.00375,0.097,0.683,149.912,0.0221
110,0.709,0.366,174000,-8.696,0.0472,0.0,0.308,0.407,74.511,0.0256
111,0.666,0.796,164842,-6.967,0.103,0.0,0.0442,0.61,110.108,0.0492
112,0.7,0.49,161803,-5.187,0.076,0.0,0.117,0.569,79.982,0.186
113,0.917,0.54,176704,-6.27,0.0578,0.0,0.0753,0.935,112.579,0.7
114,0.852,0.593,221407,-5.892,0.0702,0.168,0.154,0.87,90.002,0.386
115,0.735,0.791,217240,-4.462,0.0679,0.000146,0.145,0.697,168.087,0.0529
116,0.484,0.605,184848,-10.984,0.211,0.0,0.122,0.819,168.846,0.0475
117,0.793,0.745,235411,-4.579,0.0571,0.000189,0.293,0.716,94.979,0.182
118,0.728,0.542,227234,-5.195,0.0514,0.0,0.136,0.637,90.016,0.259
119,0.784,0.689,205716,-8.216,0.0385,0.00536,0.143,0.332,124.025,0.759
120,0.433,0.724,268105,-6.126,0.0372,0.0,0.0918,0.689,174.006,0.1
121,0.877,0.647,187773,-5.305,0.129,2.8e-06,0.134,0.678,90.028,0.22
122,0.783,0.685,236333,-5.008,0.0271,3.49e-06,0.108,0.54,107.01,0.627
123,0.781,0.67,169333,-3.912,0.0452,0.0,0.0761,0.595,127.99,0.0103
124,0.706,0.713,211267,-3.609,0.0367,0.0,0.114,0.973,142.002,0.319
125,0.769,0.812,280274,-2.088,0.0825,2.63e-05,0.0781,0.926,180.003,0.281
126,0.397,0.613,330040,-5.077,0.0549,0.0,0.192,0.405,78.4,0.0396
127,0.571,0.418,229053,-6.89,0.0303,0.0,0.0705,0.518,100.738,0.109
128,0.718,0.712,189653,-4.366,0.174,0.00121,0.104,0.531,180.034,0.512
129,0.734,0.663,219573,-6.279,0.309,0.0,0.649,0.845,166.846,0.341
130,0.422,0.302,248827,-9.214,0.0372,7.83e-05,0.104,0.123,114.089,0.629
131,0.691,0.793,185236,-4.037,0.284,0.0,0.166,0.489,134.037,0.27
132,0.605,0.8,236731,-3.018,0.312,0.000128,0.0763,0.732,92.284,0.518
133,0.803,0.715,200960,-3.28,0.298,0.000134,0.0574,0.574,101.085,0.295
134,0.736,0.785,250907,-3.676,0.0567,4.44e-06,0.109,0.747,176.021,0.198
135,0.664,0.609,210560,-6.509,0.0707,0.0,0.0926,0.194,130.041,0.304
136,0.841,0.674,382555,-5.35,0.0962,0.0,0.131,0.761,90.007,0.104
137,0.585,0.75,182813,-3.974,0.145,0.0,0.3,0.619,179.881,0.203
138,0.566,0.488,149720,-6.21,0.026,0.0,0.141,0.444,106.955,0.118
139,0.68,0.633,187353,-6.861,0.0317,0.0,0.103,0.707,109.743,0.518
140,0.603,0.508,246001,-9.437,0.217,0.0,0.14,0.301,86.723,0.114
141,0.749,0.463,226987,-8.433,0.0842,0.0382,0.338,0.189,90.035,0.21
142,0.663,0.802,225240,-4.086,0.246,0.0,0.166,0.679,177.842,0.188
143,0.702,0.741,187585,-5.33,0.0427,0.0,0.337,0.646,124.925,0.00544
144,0.773,0.777,270576,-4.509,0.14,0.0,0.291,0.491,134.845,0.539
145,0.548,0.568,185080,-4.46,0.0292,0.0,0.0916,0.735,83.308,0.675
146,0.748,0.787,199552,-4.026,0.103,0.00625,0.122,0.711,81.99,0.356
147,0.793,0.782,191945,-3.945,0.0582,0.0,0.124,0.81,143.86,0.447
148,0.436,0.4,189050,-6.521,0.11,0.0,0.76,0.568,75.576,0.463
149,0.724,0.357,228545,-8.197,0.0715,0.0,0.12,0.69,141.159,0.432
150,0.937,0.791,289013,-5.242,0.0871,0.000232,0.0433,0.974,119.967,0.0205
151,0.903,0.704,223093,-6.702,0.114,0.0044,0.117,0.587,92.009,0.0272
152,0.824,0.587,209438,-6.401,0.0937,0.000105,0.149,0.514,98.029,0.69
153,0.607,0.548,130760,-3.453,0.0258,0.0,0.195,0.827,150.189,0.471
154,0.933,0.528,214653,-6.472,0.161,0.312,0.163,0.754,109.967,0.112
155,0.332,0.225,298899,-8.697,0.0348,0.00349,0.128,0.297,81.055,0.767
156,0.794,0.693,146889,-5.881,0.0313,0.0,0.157,0.83,97.538,0.0995
157,0.677,0.455,232573,-7.123,0.0708,0.0,0.101,0.817,159.941,0.231
158,0.663,0.598,150720,-4.042,0.17,8.02e-05,0.0856,0.4,172.245,0.193
159,0.811,0.323,157760,-13.873,0.0744,1.63e-05,0.019,0.764,88.018,0.504
160,0.626,0.535,200946,-5.327,0.0408,0.0,0.172,0.848,77.984,0.59
161,0.763,0.621,211130,-6.169,0.066,2.94e-06,0.106,0.582,82.042,0.0105
